randomise_blocks,randomise_trials,display,ANSWER,Left,Right,CurrPair,PairNum,PairNumOriginal,Pose,DomPoseNum,Dominant,SubPoseNum,Submissive,
,,Intro,,,,,1,2,Sit,1,D_G_Sit_1_S2002NE0105T0209.jpg,1,S_G_Sit_1_S2002NE0105N0210.jpg,
,1,Trial,,,,1,1,2,Sit,1,D_G_Sit_1_S2002NE0105T0209_M.jpg ,1,S_G_Sit_1_S2002NE0105N0210_M.jpg ,
,1,Trial,,,,2,1,2,Sit,2,D_I_Sit_1_S2002NE0105T0209.jpg ,2,S_G_Sit_2_S2002NE0105N0210.jpg,
,1,Trial,,,,3,1,2,Sit,2,D_I_Sit_1_S2002NE0105T0209_M.jpg,2,S_G_Sit_2_S2002NE0105N0210_M.jpg ,
,1,Trial,,,,4,1,2,Sit,,,3,S_I_Sit_1_S2002NE0105N0210.jpg ,
,1,Trial,,,,5,1,2,Sit,,,3,S_I_Sit_1_S2002NE0105N0210_M.jpg  ,
,1,Trial,,,,6,1,2,Stand,1,D_G_Stan_1_S2002NE0105T0209.jpg,1,S_G_Stan_1_S2002NE0105N0210.jpg,
,1,Trial,,,,7,1,2,Stand,1,D_G_Stan_1_S2002NE0105T0209_M.jpg ,1,S_G_Stan_1_S2002NE0105N0210_M.jpg,
,1,Trial,,,,8,1,2,Stand,2,D_G_Stan_2_S2002NE0105T0209.jpg,2,S_I_Stan_1_S2002NE0105N0210.jpg,
,1,Trial,,,,9,1,2,Stand,2,D_G_Stan_2_S2002NE0105T0209_M.jpg ,2,S_I_Stan_1_S2002NE0105N0210_M.jpg,
,1,Trial,,,,10,1,2,Stand,3,D_I_Stan_1_S2002NE0105T0209.jpg,,,
,1,Trial,,,,11,1,2,Stand,3,D_I_Stan_1_S2002NE0105T0209_M.jpg ,,,
,1,Trial,,,,12,2,3,Sit,1,D_G_Sit_1_S2006AZ0028T0055.jpg  ,1,S_G_Sit_1_S2006AZ0028N0056.jpg,
,1,Trial,,,,13,2,3,Sit,1,D_G_Sit_1_S2006AZ0028T0055_M.jpg ,1,S_G_Sit_1_S2006AZ0028N0056_M.jpg ,
,1,Trial,,,,14,2,3,Sit,2,D_I_Sit_1_S2006AZ0028T0055.jpg ,2,S_G_Sit_2_S2006AZ0028N0056.jpg,
,1,Trial,,,,15,2,3,Sit,2,D_I_Sit_1_S2006AZ0028T0055_M.jpg,2,S_G_Sit_2_S2006AZ0028N0056_M.jpg ,
,1,Trial,,,,16,2,3,Sit,,,3,S_I_Sit_1_S2006AZ0028N0056.jpg ,
,1,Trial,,,,17,2,3,Sit,,,3,S_I_Sit_1_S2006AZ0028N0056_M.jpg  ,
,1,Trial,,,,18,2,3,Stand,1,D_G_Stan_1_S2006AZ0028T0055.jpg,1,S_G_Stan_1_S2006AZ0028N0056.jpg,
,1,Trial,,,,19,2,3,Stand,1,D_G_Stan_1_S2006AZ0028T0055_M.jpg ,1,S_G_Stan_1_S2006AZ0028N0056_M.jpg,
,1,Trial,,,,20,2,3,Stand,2,D_G_Stan_2_S2006AZ0028T0055.jpg,2,S_I_Stan_1_S2006AZ0028N0056.jpg,
,1,Trial,,,,21,2,3,Stand,2,D_G_Stan_2_S2006AZ0028T0055_M.jpg ,2,S_I_Stan_1_S2006AZ0028N0056_M.jpg,
,1,Trial,,,,22,2,3,Stand,3,D_I_Stan_1_S2006AZ0028T0055.jpg,,,
,1,Trial,,,,23,2,3,Stand,3,D_I_Stan_1_S2006AZ0028T0055_M.jpg ,,,
,1,Trial,,,,24,3,4,Sit,1,D_G_Sit_1_S2000TN0142T0283.jpg  ,1,S_G_Sit_1_S2000TN0142N0284.jpg,
,1,Trial,,,,25,3,4,Sit,1,D_G_Sit_1_S2000TN0142T0283_M.jpg ,1,S_G_Sit_1_S2000TN0142N0284_M.jpg ,
,1,Trial,,,,26,3,4,Sit,2,D_I_Sit_1_S2000TN0142T0283.jpg ,2,S_G_Sit_2_S2000TN0142N0284.jpg,
,1,Trial,,,,27,3,4,Sit,2,D_I_Sit_1_S2000TN0142T0283_M.jpg,2,S_G_Sit_2_S2000TN0142N0284_M.jpg ,
